"id";"kind";"numfuses"
80;"sing";2
100;"sing";10
105;"sing";4
122;"sing";14
125;"sing";4
135;"sing";1
176;"sing";5
222;"sing";77
296;"sing";9
299;"sing";28
345;"sing";4
370;"sing";1
373;"sing";2
374;"sing";7
413;"sing";62
444;"sing";1
449;"sing";6
464;"sing";1
504;"sing";1
553;"sing";11
579;"sing";1
580;"sing";2
586;"sing";5
607;"sing";9
638;"sing";14
657;"sing";1
728;"sing";2
766;"sing";5
860;"sing";1
917;"sing";1
918;"sing";3
964;"sing";54
997;"sing";16
1016;"sing";1
1155;"sing";2
1156;"sing";13
1161;"sing";6
1170;"sing";1
1184;"sing";33
1192;"sing";101
1202;"sing";3
1230;"sing";1
1235;"sing";3
1246;"sing";1
1256;"sing";1
1265;"sing";2
1289;"sing";9
1292;"sing";12
1304;"sing";1
1312;"sing";20
1520;"sing";1
1533;"sing";7
1560;"sing";1
1631;"sing";1
1636;"sing";1
1700;"sing";54
1733;"sing";4
1786;"sing";28
1802;"sing";3
1838;"sing";1
1894;"sing";1
1897;"sing";6
1905;"sing";1
1926;"sing";4
1930;"sing";2
2072;"sing";3
2118;"sing";14
2135;"sing";9
2241;"sing";3
2264;"sing";2
2357;"sing";2
2426;"sing";8
2478;"sing";1
2513;"sing";1
2561;"sing";2
2580;"sing";2
2816;"sing";2
2829;"sing";2
2911;"sing";1
2946;"sing";150
2960;"sing";5
3010;"sing";1
3029;"sing";4
3040;"sing";5
3041;"sing";3
3043;"sing";5
3088;"sing";8
3121;"sing";2
3173;"sing";15
3193;"sing";2
3205;"sing";2
3228;"sing";5
3281;"sing";68
3308;"sing";2
3443;"sing";3
3686;"sing";5
3709;"sing";5
3815;"sing";1
3911;"sing";1
3918;"sing";2
3950;"sing";1
3990;"sing";2
4066;"sing";6
4086;"sing";2
4105;"sing";2
4224;"sing";3
4228;"sing";1
4229;"sing";13
4256;"sing";1
4263;"sing";4
4281;"sing";2
4424;"sing";6
4489;"sing";1
4591;"sing";1
4611;"sing";20
4615;"sing";23
4649;"sing";3
4651;"sing";2
4654;"sing";10
4864;"sing";65
4913;"sing";6
4932;"sing";19
4933;"sing";5
4986;"sing";6
5038;"sing";13
5079;"sing";6
5105;"sing";5
5163;"sing";33
5195;"sing";2
5232;"sing";1
5303;"sing";14
5323;"sing";1
5419;"sing";2
5440;"sing";2
5478;"sing";14
5546;"sing";9
5561;"sing";1
5564;"sing";26
5568;"sing";2
5585;"sing";1
5597;"sing";15
5633;"sing";5
5713;"sing";1
5742;"sing";1
5757;"sing";151
5824;"sing";2
5832;"sing";2
5837;"sing";6
5955;"sing";3
5969;"sing";3
5982;"sing";2
6000;"sing";14
6006;"sing";1
6069;"sing";7
6241;"sing";2
6367;"sing";3
6376;"sing";2
6413;"sing";1
6505;"sing";3
6558;"sing";1
6712;"sing";1
6785;"sing";57
6821;"sing";1
7094;"sing";15
7133;"sing";30
7191;"sing";3
7232;"sing";25
7243;"sing";1
7282;"sing";1
7500;"sing";4
7585;"sing";5
7636;"sing";1
7649;"sing";2
7849;"sing";10
7905;"sing";2
7909;"sing";1
7955;"sing";1
8054;"sing";1
8099;"sing";3
8119;"sing";4
8143;"sing";14
8186;"sing";24
8226;"sing";2
8277;"sing";1
8357;"sing";1
8522;"sing";10
8594;"sing";18
8649;"sing";2
8652;"sing";2
8664;"sing";1
8697;"sing";2
8699;"sing";6
8745;"sing";8
8809;"sing";2
9006;"sing";2
9051;"sing";7
9069;"sing";9
9099;"sing";1
9446;"sing";9
9487;"sing";8
9499;"sing";6
9600;"sing";180
9675;"sing";2
9749;"sing";31
9779;"sing";18
9847;"sing";2
9893;"sing";2
10007;"sing";1
10009;"sing";4
10033;"sing";6
10039;"sing";2
10044;"sing";1
10104;"sing";13
10105;"sing";2
10167;"sing";3
10179;"sing";1
10186;"sing";3
10187;"sing";3
10255;"sing";2
10285;"sing";1
10290;"sing";2
10360;"sing";2
10380;"sing";1
10391;"sing";1
10467;"sing";12
10521;"sing";6
10532;"sing";1
10627;"sing";1
10630;"sing";3
10651;"sing";1
10682;"sing";25
10717;"sing";7
10723;"sing";7
10724;"sing";11
10728;"sing";7
10737;"sing";30
10780;"sing";1
10860;"sing";1
10861;"sing";7
10902;"sing";1
10960;"sing";2
10984;"sing";11
11037;"sing";3
11038;"sing";18
11046;"sing";2
11072;"sing";7
11148;"sing";15
11157;"sing";30
11166;"sing";3
11228;"sing";12
11258;"sing";2
11275;"sing";1
11356;"sing";11
11363;"sing";1
11373;"sing";2
11382;"sing";5
11432;"sing";6
11476;"sing";3
11505;"sing";1
11552;"sing";2
11584;"sing";6
11745;"sing";1
11891;"sing";3
11928;"sing";11
11963;"sing";1
12013;"sing";6
12234;"sing";2
12236;"sing";4
12265;"sing";8
12333;"sing";2
12478;"sing";20
12523;"sing";1
12678;"sing";5
12746;"sing";1
13009;"sing";4
13036;"sing";2
13054;"sing";1
13173;"sing";2
13175;"sing";1
13188;"sing";3
13222;"sing";1
13258;"sing";5
13470;"sing";19
13693;"sing";8
14201;"sing";1
14335;"sing";1
14859;"sing";1
15232;"sing";22
16413;"sing";1
16861;"sing";6
17829;"sing";3
17890;"sing";3
17913;"sing";1
18432;"sing";2
18524;"sing";1
18563;"sing";1
18715;"sing";2
19005;"sing";2
19695;"sing";1
19950;"sing";35
20121;"sing";1
20197;"sing";7
20940;"sing";2
21275;"sing";1
21358;"sing";8
21375;"sing";11
21757;"sing";2
21995;"sing";3
22186;"sing";3
22251;"sing";2
22301;"sing";2
22353;"sing";4
22711;"sing";2
22816;"sing";4
22940;"sing";1
23431;"sing";4
24276;"sing";2
24432;"sing";27
25203;"sing";4
25320;"sing";1
26356;"sing";11
26934;"sing";1
27082;"sing";2
27373;"sing";1
27614;"sing";9
28212;"sing";1
28338;"sing";3
28392;"sing";24
28663;"sing";1
29077;"sing";1
29322;"sing";1
29401;"sing";3
29407;"sing";14
29603;"sing";1
30212;"sing";2
30615;"sing";4
30771;"sing";4
31112;"sing";5
31313;"sing";1
31691;"sing";9
31753;"sing";6
32366;"sing";1
32649;"sing";1
33248;"sing";6
33720;"sing";3
36024;"sing";1
38211;"sing";1
38524;"sing";8
39049;"sing";1
39753;"sing";4
41530;"sing";2
41901;"sing";5
42605;"sing";6
42900;"sing";3
43445;"sing";1
44006;"sing";3
44747;"sing";2
44794;"sing";2
45083;"sing";3
45918;"sing";1
46213;"sing";16
46270;"sing";8
46550;"sing";8
52236;"sing";9
54236;"sing";17
55307;"sing";3
56977;"sing";2
57028;"sing";2
57517;"sing";1
60549;"sing";2
60766;"sing";1
60989;"sing";10
62097;"sing";2
64236;"sing";2
64675;"sing";1
65693;"sing";1
66298;"sing";5
66350;"sing";1
66575;"sing";1
66803;"sing";7
66891;"sing";7
69914;"sing";1
73291;"sing";2
76333;"sing";6
76733;"sing";52
77393;"sing";1
78114;"sing";20
79625;"sing";2
81261;"sing";2
82316;"sing";1
83258;"sing";1
84514;"sing";3
85504;"sing";1
85700;"sing";9
85993;"sing";1
86633;"sing";4
87266;"sing";1
87329;"sing";6
